short_name,full_name,division,mascot,conference,elo,location,eligible
Dean,Dean College,D-III,Bulldogs,GNAC,1500,"42.08636133425835, -71.39748949045915",0
Dominican,Dominican University (IL),D-III,Stars,NACC,1500,"41.903363621408715, -87.82152751845709",0
DYouville,D'Youville College,D-II,Saints,Independent,1500,"42.90182578107489, -78.88965269252517",1
Eastern,Eastern University,D-III,Eagles,MAC,1500,"40.050986680102724, -75.37269408034746",0
Edgewood,Edgewood College,D-III,Eagles,NACC,1500,"43.05830704392353, -89.42167424499276",0
Edward,Edward Waters University,D-II,Tigers,SIAC,1419,"30.34614835020607, -81.68808435799133",1
Elizabeth,Saint Elizabeth University,D-III,Eagles,CSAC,1500,"40.777375075122734, -74.43415675237851",0
Elizabethtown,Elizabethtown College,D-III,Blue Jays,CVC,1500,"40.150819758599084, -76.59062951850991",0
Elmira,Elmira College,D-III,Soaring Eagles,UVC,1500,"42.096566184891785, -76.81556739854054",0
Elms,College of Our Lady of the Elms,D-III,Blazers,NECC,1500,"42.14173387482781, -72.60017141907629",0
Emerson,Emerson College,D-III,Lions,GNAC,1500,"42.35224553601047, -71.06582213018211",0
Emmanuel,Emmanuel College,D-II,Lions,Carolinas,1500,"34.28232255958307, -83.15283746675586",1
Emmanuel MA,Emmanuel College (MA),D-III,Saints,GNAC,1500,"42.34035470893204, -71.10340832812273",0
EMU,Eastern Mennonite University,D-III,Royals,CVC,1500,"38.4724731498568, -78.87859418683938",0
Endicott,Endicott College,D-III,Gulls,NECC,1500,"42.555019322717676, -70.83965869564096",0
ENU,Eastern Nazarene College,D-III,Lions,NECC,1500,"42.27217678612162, -71.01071405591968",0
Erskine,Erskine College,D-II,Flying Fleet,Carolinas,1500,"34.33264844123455, -82.39295012824844",1
Fairleigh,Fairleigh Dickinson University,D-I,Knights,Independent,1419,"40.896665989152474, -74.03244336140656",1
Fisher,St. John Fisher College,D-III,Cardinals,UVC,1500,"43.11613765507209, -77.50989152025222",0
Fontbonne,Fontbonne University,D-III,Griffins,MCVL,1500,"38.64174360171452, -90.31502244592951",0
Fort Valley,Fort Valley State University,D-II,Wildcats,SIAC,1419,"32.533038270782875, -83.89765259686493",1
GCU,Grand Canyon University,D-I,Antelopes,MPSF,1500,"33.51026623785861, -112.12902999636252",1
Geneva,Geneva College,D-III,Golden Tornadoes,AMCC,1500,"40.77105523710914, -80.32069510818673",0
Georgetown,Georgetown College (KY),NAIA,Tigers,NAIA,1500,"38.2075905437859, -84.55289270669186",0
GMU,George Mason University,D-I,Patriots,EIVA,1500,"38.83065978140495, -77.3124337809112",1
Grand View,Grand View University,NAIA,Vikings,NAIA,1500,"41.61980219082709, -93.59806643803012",0
Greenville,North Greenville University,D-II,Crusaders,Carolinas,1500,"35.069533766249734, -82.37309708210283",1
Harvard,Harvard University,D-I,Crimson,EIVA,1500,"42.37135182238967, -71.11941108239166",1
Hawaii,University of Hawai'i at Manoa,D-I,Rainbow Warriors,Big West,1500,"21.294609859692425, -157.8183992624992",1
Hilbert,Hilbert College,D-III,Hawks,AMCC,1500,"42.75407223484585, -78.81970205433396",0
Hiram,Hiram College,D-III,Terriers,AMCC,1500,"41.311370096971544, -81.14153368962442",0
Hunter,Hunter College,D-III,Hawks,CUNY AC,1500,"40.76777636366904, -73.96455470358497",0
IIT,Illinois Institute of Technology,D-III,Scarlet Hawks,NACC,1500,"41.839019206655045, -87.62557170033118",0
Immaculata,Immaculata University,D-III,Mighty Macs,CVC,1500,"40.027973552241136, -75.57068390446615",0
Indiana Tech,Indiana Institute of Technology,NAIA,Warriors,NAIA,1500,"41.078223061447055, -85.11802161138166",0
IWU,Illinois Wesleyan University,D-III,Titans,CCIW,1500,"40.49388795647673, -88.98929385170241",0
Jamestown,University of Jamestown,NAIA,Jimmies,NAIA,1500,"46.9150125897768, -98.69405345622302",0
John Jay,John Jay College of Criminal Justice,D-III,Bloodhounds,CUNY AC,1500,"40.77035218686202, -73.98835148520904",0
Juniata,Juniata College,D-III,Eagles,CVC,1500,"40.50082601597881, -78.01535329509088",0
Katherine,University of Saint Katherine,NAIA,Firebirds,NAIA,1500,"33.14459389006438, -117.188980895342",0
Kean,Kean University,D-III,Cougars,CVC,1500,"40.68045714398456, -74.23754322953764",0
King,King University,D-II,Tornados,Carolinas,1500,"36.585282826029015, -82.15931172711392",1
Kings,King's College,D-III,Monarchs,MAC,1500,"41.249174900875346, -75.87696569302454",0
KSU,Kentucky State University,D-II,Thorobreds,SIAC,1419,"38.20016245445245, -84.86007930194451",1
Lakeland,Lakeland University,D-III,Muskies,NACC,1500,"43.843452277396864, -87.88577772880265",0
Lancaster,Lancaster Bible College,D-III,Chargers,NEAC,1500,"40.07544941311759, -76.28914618292605",0
Lasell,Lasell University,D-III,Lasers,GNAC,1500,"42.34259730667481, -71.24342225858211",0
LBSU,Long Beach State,D-I,49ers,Big West,1500,"33.78755969795288, -118.11468048796037",1
Lees,Lees–McRae College,D-II,Bobcats,Carolinas,1500,"36.15646890875242, -81.87072487315083",1
Lehman,Lehman College,D-III,Lightning Bugs,CUNY AC,1500,"40.87466726077226, -73.89295862715507",0
Lesley,Lesley University,D-III,Lynx,NECC,1500,"42.43001050429625, -71.12511049597039",0
Lewis,Lewis University,D-II,Flyers,MIVA,1500,"41.60507512399408, -88.08211780186922",1
Life,Life University,NAIA,Running Eagles,NAIA,1500,"33.931020655187076, -84.51727778423846",0
Limestone,Limestone University,D-II,Saints,Independent,1500,"35.0550147456207, -81.65177833084384",1
Lindenwood,Lindenwood University,D-II,Lions,MIVA,1500,"38.78885569308603, -90.50402535960333",1
LIU,Long Island University,D-I,Sharks,Independent,1419,"40.69062486571616, -73.979257542518",1
LMU,Lincoln Memorial University,D-II,Railsplitters,Independent,1500,"36.58069456454686, -83.6625514731423",1
Loras,Loras College,D-III,Duhawks,CCIW,1500,"42.504879804777005, -90.67847969314923",0
Lourdes,Lourdes University,NAIA,Grey Wolves,NAIA,1500,"41.7080917959541, -83.70556847058288",0
Loyola,Loyola University Chicago,D-I,Ramblers,MIVA,1500,"42.000567998243376, -87.65897785953142",1
Maranatha,Maranatha Baptist University,D-III,Sabercats,Independent,1500,"43.19434080238715, -88.7378745828583",0
Marian,Marian University (WI),D-III,Sabres,NACC,1500,"43.77635064609146, -88.41999676090558",0
Marymount,Marymount University,D-III,Saints,CVC,1500,"38.90566645273184, -77.12717533225883",0
Maryville,Maryville University,D-II,Saints,Independent,1419,"38.64372686506051, -90.50393139677512",1
MBU,Missouri Baptist University,NAIA,Spartans,NAIA,1500,"38.64163159240683, -90.46136632365594",0
McKendree,McKendree University,D-II,Bearcats,MIVA,1500,"38.61089984668392, -89.81457515960716",1
Medaille,Medaille College,D-III,Mavericks,AMCC,1500,"42.929141132927406, -78.85653115282652",0
Medgar,Medgar Evers College,D-III,Cougars,CUNY AC,1500,"40.66678199893193, -73.95201121827772",0
Menlo,Menlo College,NAIA,Oaks,NAIA,1500,"37.45703867329666, -122.191176410207",0
Merced,UC Merced,NAIA,Golden Bobcats,NAIA,1500,"37.366012991410265, -120.42680463444562",0
Messiah,Messiah Univeristy,D-III,Falcons,MAC,1500,"40.158697842416125, -76.988491780441",0
Millikin,Millikin University,D-III,Big Blue,CCIW,1500,"39.843612359218106, -88.9732658076431",0
Misericordia,Misericordia University,D-III,Cougars,MAC,1500,"41.346573259307426, -75.97430701035299",0
MIT,Massachusetts Institute of Technology,D-III,Engineers,UVC,1500,"42.35920143502328, -71.09598651534462",0
Morehouse,Morehouse College,D-II,Maroon Tigers,SIAC,1419,"33.74897155900181, -84.40861390674647",1
Mount Union,University of Mount Union,D-III,Purple Raiders,MCVL,1500,"40.90245029151455, -81.11104969355848",0
MSJ,Mount St. Joseph University,D-III,Lions,MCVL,1500,"39.095018513143216, -84.6404775537773",0
MSOE,Milwaukee School of Engineering,D-III,Raiders,NACC,1500,"43.04662807366095, -87.90950353546796",0
MSV,College of Mount Saint Vincent,D-III,Dolphins,Skyline Conference,1500,"40.91356526437771, -73.90614706114066",0
Nazareth,Nazareth College (NY),D-III,Golden Flyers,UVC,1500,"43.101628145741294, -77.51857696231474",0
Neumann,Neumann University,D-III,Knights,CVC,1500,"39.87521060111818, -75.4428721669722",0
Nichols,Nichols College,D-III,Bison,NECC,1500,"42.04241879910383, -71.92939413800686",0
NJCU,New Jersey City University,D-III,Gothic Knights,Skyline Conference,1500,"40.7127279879083, -74.08873883959045",0
NJIT,New Jersey Institute of Technology,D-I,Highlanders,EIVA,1500,"40.74226308492056, -74.1804250697891",1
Norbert,St. Norbert College,D-III,Green Knights,NACC,1500,"44.442076059728834, -88.06813597045847",0
North Central,North Central College,D-III,Cardinals,CCIW,1500,"41.769802215602205, -88.14426296972064",0
North Park,North Park University,D-III,Vikings,CCIW,1500,"41.97507802707824, -87.70908385315052",0
NVU,Northern Vermont University–Johnson,D-III,Badgers,NECC,1500,"44.64170222739891, -72.67127077254793",0
NYU,New York University,D-III,Violets,UVC,1500,"40.69426223581706, -73.98649046111277",0
Ohio,The Ohio State University,D-I,Buckeyes,MIVA,1500,"40.013659150194385, -83.02835385096364",1
Olive,University of Mount Olive,D-II,Trojans,Carolinas,1500,"35.206267828209945, -78.07135766938003",1
Olivet,Olivet College,D-III,Comets,MCVL,1500,"42.43590104499605, -84.926079186222",0
OUAZ,Ottawa University Arizona,NAIA,Spirit,NAIA,1500,"33.62841394840269, -112.37179237613786",0
Paine,Paine College,NCCAA,Lions,NCCAA,1500,"33.47082393014291, -81.99702436738723",0
Park,Park University,NAIA,Pirates,NAIA,1500,"33.29997589547613, -111.62490849737839",0
Penn,Pennsylvania State University,D-I,Nittany Lions,EIVA,1500,"40.79587992368765, -77.86941460188768",1
Penn Altoona,Penn State Altoona,D-III,Nittany Lions,AMCC,1500,"40.54129159543888, -78.4106558057087",0
Penn Behrend,"Penn State Erie, The Behrend College",D-III,Behrend Lions,AMCC,1500,"42.12012061305278, -79.97809207472905",0
Pepperdine,Pepperdine University,D-I,Waves,MPSF,1500,"34.03852398415157, -118.70978524990564",1
PFW,Purdue University Fort Wayne,D-I,Mastodons,MIVA,1500,"41.11944698196785, -85.10730666554868",1
Pine Manor,Pine Manor College,D-III,Gators,Independent,1500,"42.32090975390333, -71.15797182073103",0
Pratt,Pratt Institute,D-III,Cannoneers,Independent,1500,"40.690913899534586, -73.96207617419944",0
Princeton,Princeton University,D-I,Tigers,EIVA,1500,"40.345617856393154, -74.65879610189774",1
Queens,Queens University of Charlotte,D-II,Royals,Independent,1500,"35.18849968417609, -80.83507306216742",1
Quincy,Quincy University,D-II,Hawks,MIVA,1500,"39.9384182056001, -91.38529127307119",1
Ramapo,Ramapo College,D-III,Roadrunners,Skyline Conference,1500,"41.08237213924209, -74.17750497174502",0
Randolph Macon,Randolph–Macon College,D-III,Yellow Jackets,CVC,1500,"37.762889757977874, -77.47861657454743",0
Regis,Regis College (MA),D-III,Pride,GNAC,1500,"42.350914973456305, -71.3074520630383",0
Reinhardt,Reinhardt University,NAIA,Eagles,NAIA,1500,"34.318858281323614, -84.54888269700757",0
Rivier,Rivier University,D-III,Raiders,GNAC,1500,"42.73813288937704, -71.45234267759334",0
Rockford,Rockford University,D-III,Regents,NACC,1500,"42.269156247760925, -89.02165338002247",0
Rosemont,Rosemont College,D-III,Ravens,CSAC,1500,"40.033736490844156, -75.33160520871527",0
Rutgers,Rutgers University–Newark,D-III,Scarlet Raiders,CVC,1500,"40.73916807034423, -74.17387951111192",0
Sacred,Sacred Heart University,D-I,Pioneers,EIVA,1500,"41.21960639882194, -73.24464177304239",1
Sage,The Sage Colleges,D-III,Gators,NECC,1500,"42.65142294260737, -73.78257340262616",0
Saint Vincent,Saint Vincent College,D-III,Bearcats,AMCC,1500,"40.29242584013322, -79.40378787664432",0
Sarah,Sarah Lawrence College,D-III,Gryphons,Skyline Conference,1500,"40.9321611226302, -73.84734653537407",0
SFCB,St. Francis College (Brooklyn),D-I,Terriers,EIVA,1500,"40.69327473082102, -73.99260250884957",1
SFU,Saint Francis University (PA),D-I,Red Flash,EIVA,1500,"40.50452259480198, -78.64110417305858",1
SJC Brooklyn,St. Joseph's College-Brooklyn,D-III,Bears,Skyline Conference,1500,"40.690994511103455, -73.9696828545863",0
SJC Long Island,St. Joseph's College-Long Island,D-III,Golden Eagles,Skyline Conference,1500,"40.7764487093655, -73.0263200930275",0
Springfield,Springfield College (MA),D-III,Pride,Independent,1500,"42.10483126433112, -72.55557081090733",0
St Andrews,St. Andrews University,NAIA,Knights,NAIA,1500,"34.745921130860445, -79.47888492926597",0
Stanford,Stanford University,D-I,Cardinal,MPSF,1500,"37.42962789960126, -122.16063330196073",1
Stevens,Stevens Institute of Technology,D-III,Ducks,MAC,1500,"40.74330688729092, -74.02580511631534",0
Stevenson,Stevenson University,D-III,Mustangs,MAC,1500,"39.427623235478656, -76.77926613430805",0
SUNY New Paltz,State University of New York at New Paltz,D-III,Hawks,UVC,1500,"41.739840548230994, -74.08651471281539",0
SUNY Poly,State University of New York Polytechnic Institute,D-III,Wildcats,NEAC,1500,"43.137836223361504, -75.22973236333709",0
SUNY Potsdam,State University of New York at Potsdam,D-III,Bears,NEAC,1500,"44.660676196882086, -74.96712355234018",0
SUNY Purchase,State University of New York at Purchase,D-III,Panthers,Skyline Conference,1500,"41.05010343783726, -73.69852253602835",0
SVU,Southern Virginia University,D-III,Knights,CVC,1500,"37.74147880883873, -79.34995625019081",0
Thiel,Thiel College,D-III,Tomcats,AMCC,1500,"41.411953215542255, -80.38403895686261",0
Trine,Trine University,D-III,Thunder,MCVL,1500,"41.63098230268178, -85.01231909201103",0
Tusculum,Tusculum University,D-II,Pioneers,Independent,1500,"36.172235784169594, -82.76122001547911",1
UCI,UC Irvine,D-I,Anteaters,Big West,1500,"33.649529179071855, -117.84676229463538",1
UCLA,UCLA,D-I,Bruins,MPSF,1500,"34.070368942308, -118.44692940202692",1
UCSB,UC Santa Barbara,D-I,Gauchos,Big West,1500,"34.413774241887246, -119.85124827968606",1
UCSC,UC Santa Cruz,D-III,Banana Slugs,Independent,1500,"36.96823924339548, -122.02312311628842",0
UCSD,UC San Diego,D-I,Tritons,Big West,1500,"32.88532910021645, -117.23989557321309",1
UPRB,University of Puerto Rico at Bayamon,D-II,Cowboys,Independent,1500,"18.37183760427692, -66.14289026456974",0
UPRM,University of Puerto Rico at Mayaguez,D-II,Tarzans,Independent,1500,"18.210830405627053, -67.14090943786569",0
UPRRP,"University of Puerto Rico, Rio Piedras",D-II,Gallitos,Independent,1500,"18.40278872714375, -66.05006215991594",0
Urbana,Urbana University,D-II,Blue Knights,Independent,1500,"40.09973848144935, -83.76003001311695",0
USC,University of Southern California,D-I,Trojans,MPSF,1500,"34.02083077304503, -118.27970057319217",1
Valley Forge,University of Valley Forge,D-III,Patriots,CSAC,1500,"40.1181690516284, -75.550581063398",0
Vanguard,Vanguard University,NAIA,Lions,NAIA,1500,"33.66149843172471, -117.90297950960634",0
Vassar,Vassar College,D-III,Brewers,UVC,1500,"41.689951645290634, -73.89088724998996",0
Wabash,Wabash College,D-III,Little Giants,MCVL,1500,"40.03704910749767, -86.90791218910711",0
Wells,Wells College,D-III,Express,NEAC,1500,"42.74657777700596, -76.69624086746354",0
Westcliff,Westcliff University,NAIA,Warriors,NAIA,1500,"33.79535549977899, -117.76684789770304",0
Widener,Widener University,D-III,Pride,MAC,1500,"39.86591052264735, -75.35187384013149",0
Wilkes,Wilkes University,D-III,Colonels,MAC,1500,"41.2423605095444, -75.890487664037",0
Wilson,Wilson College (PA),D-III,Phoenix,CSAC,1500,"39.953606035662204, -77.6499938604079",0
WIT,Wentworth Institute of Technology,D-III,Leopards,GNAC,1500,"42.33551821175901, -71.094890253902",0
Wittenberg,Wittenberg University,D-III,Tigers,MCVL,1500,"39.937405829559225, -83.81388113557702",0
WLC,Wisconsin Lutheran College,D-III,Warriors,NACC,1500,"43.03772451134177, -88.02170450400425",0
Xavier,Saint Xavier University,NAIA,Cougars,NAIA,1500,"41.70695344950264, -87.71614398729923",0
Yeshiva,Yeshiva University,D-III,Maccabees,Skyline Conference,1500,"40.85009572301855, -73.92863738341114",0
York,York College,D-III,Cardinals,CUNY AC,1500,"40.70067378876929, -73.79500755814429",0
